"Team" "diff_1st.Downs" "diff_3rd.down.efficiency" "diff_4th.down.efficiency" "diff_Total.Yards" "diff_Passing" "diff_Comp.Att" "diff_Yards.per.pass" "diff_Interceptions.thrown" "diff_Rushing" "diff_Rushing.Attempts" "diff_Yards.per.rush" "diff_Penalties" "diff_Turnovers" "diff_Fumbles.lost" "diff_Possession" "diff_Score" "Result_num" "CONF_PWR" "OPP_CONF_PWR" "CONF_Matchup" "Conference" "Team_P5_G5"
"61" "MRSH" 6.083 0.143 -0.222 113.083 -3.75 0.1 0.2 -0.5 116.833 14.25 1.675 15.917 -0.583 -0.083 4.382 8 0.667 5 4.917 0.083 "SBC" "G5"
"62" "MSST" 4.583 0.069 0.1 42.833 107.583 0.104 0.083 -0.583 -64.75 -12.083 -0.558 9.75 -0.333 0.25 0.658 8.5 0.667 22 17.25 4.75 "SEC" "P5"
"63" "MSU" -2.583 -0.066 -0.222 -63.5 2.083 -0.019 -0.625 0.833 -65.583 -11.583 -0.767 -8.75 0.333 -0.5 -7.55 -3 0.417 21 17.5 3.5 "BIG10" "P5"
"64" "MTSU" -1.333 -0.045 0.205 -23.25 -24.167 0.088 -0.392 -0.583 0.917 0.25 0.017 -7.583 -0.75 -0.167 -2.282 1.083 0.583 2 3.5 -1.5 "CUSA" "G5"
"65" "NAVY" 2 0.014 0.123 -12.083 -164.333 -0.268 -1.917 -0.167 152.25 29.417 1.15 -14.167 -0.25 -0.083 9.267 -2.417 0.333 11 9.417 1.583 "AAC" "G5"
"66" "NCST" 4.5 0.059 0.125 17.833 -0.417 0 -0.133 -0.917 18.25 6.25 -0.058 -5.667 -0.5 0.417 3.932 5.917 0.667 17 14.167 2.833 "ACC" "P5"
"67" "ND" 3.5 0.097 -0.167 55.583 9.333 0.049 1.083 -0.083 46.25 6 0.475 1.333 0.167 0.25 3.65 8.917 0.667 18 15.333 2.667 "Ind_High" "P5"
"68" "NEB" -4.917 -0.021 -0.278 -70.25 -4.5 0.006 0.908 0.333 -65.75 -6.583 -1.067 -10.667 0.25 -0.083 -6.372 -5 0.333 21 17.833 3.167 "BIG10" "P5"
"69" "NEV" -2.667 -0.067 0.221 -90.667 -43.583 -0.006 -3.717 -0.25 -47.083 -2.667 -0.5 -17 -0.167 0.083 -3.027 -12.083 0.167 4 5.083 -1.083 "MW" "G5"
"70" "NIU" -3.417 -0.054 -0.118 -22.583 -70.167 -0.039 -1.625 0.5 47.583 2.667 0.95 14 -0.25 -0.75 1.598 -5.5 0.25 1 5.25 -4.25 "MAC" "G5"
"71" "NMSU" -3.5 -0.024 0.058 -14.667 -14.333 -0.083 0.567 0.5 -0.333 -5.167 0.492 1.583 0.417 -0.083 -3.993 1.25 0.5 3 7.167 -4.167 "Ind_Low" "G5"
"72" "NU" -1.25 -0.053 0.018 -39.333 26.917 0.007 -0.958 0.917 -66.25 -2.333 -1.533 -2.5 1.5 0.583 -1.945 -14.583 0.083 21 17.25 3.75 "BIG10" "P5"
"73" "ODU" -7.583 -0.114 -0.235 -102.917 2.917 -0.082 -1.125 -0.417 -105.833 -21.417 -0.9 9 -0.083 0.333 -11.74 -7.083 0.25 5 7.333 -2.333 "SBC" "G5"
"74" "OHIO" -1.769 0.038 -0.032 -13.077 -8.385 0.003 0.754 -0.462 -4.692 2.154 -0.177 -9.385 -0.923 -0.462 4.538 3.538 0.692 1 4 -3 "MAC" "G5"
